N,Function 1 (s),Function 2 (s)
110,0.0002487874822691083,0.0005008541978895664
111,0.00025469590909779074,0.0005177292041480541
112,0.0002583042019978166,0.0005253583192825317
113,0.00026552919298410415,0.0005280582932755351
114,0.0002710125176236033,0.0005406792042776942
115,0.0002652541035786271,0.0005625874968245625
116,0.0002721874974668026,0.000570383295416832
117,0.0002769083948805928,0.0005858958000317215
118,0.0002840457949787378,0.0005882417084649205
119,0.0002885333960875869,0.0006039125146344304
120,0.0003013750072568655,0.0005959250032901764
121,0.0002997125033289194,0.0006058458937332034
122,0.0002980791963636875,0.0006289791781455278
123,0.00030426669400185347,0.0006405541906133294
124,0.00030772918835282327,0.000635258387774229
125,0.00031277500092983244,0.0006816833047196269
126,0.0003393791150301695,0.000684262509457767
127,0.0003230541944503784,0.0006787040969356894
128,0.00032897910568863153,0.0007005915977060795
129,0.00035211248323321345,0.0007088790880516171
130,0.0003474166849628091,0.000712183304131031
131,0.00035719999577850104,0.0007232707925140857
132,0.0003566292114555836,0.0007335666799917817
133,0.0003638082882389426,0.0007432667072862387
134,0.0003690832993015647,0.0007485792040824891
135,0.0003780375001952052,0.0007722083013504743
136,0.0003840042045339942,0.0007960791932418943
137,0.00038047078996896746,0.0007855250034481287
138,0.0003802417078986764,0.0007988374913111329
139,0.00041032079607248304,0.0008147124899551272
140,0.0004015541868284345,0.0008190624881535769
141,0.00040787500329315663,0.0008479749783873558
142,0.00040590420830994846,0.0008471833076328039
143,0.00041247501503676175,0.0008765375008806586
144,0.00043292089831084015,0.0008633125107735395
145,0.000429424992762506,0.0009003707906231284
146,0.0004485290963202715,0.0009019207907840609
147,0.0004708915948867798,0.0009431874845176935
148,0.00043737501837313173,0.0009097791044041514
149,0.00044583750423043966,0.0009221666026860475
150,0.00045247089583426713,0.0009341291151940823
151,0.0004588082898408175,0.0009406666969880462
152,0.00046640420332551004,0.000957774999551475
153,0.00047349589876830576,0.0009691167157143355
154,0.000478283385746181,0.0009892083005979657
155,0.0004982250044122339,0.0010197666939347982
156,0.0005058959126472473,0.001029616710729897
157,0.0005104874959215522,0.001050783391110599
158,0.0005166833056136966,0.0010573707986623049
159,0.0005228833062574268,0.0010802249889820814
160,0.0005402249982580543,0.0010639749933034181
161,0.0005232833093032241,0.001070608291774988
162,0.0005288916872814298,0.001083616609685123
163,0.0005342415999621153,0.0011024875100702047
164,0.0005552042042836547,0.0011462041875347495
165,0.0005418833112344146,0.001174374995753169
166,0.0005705165909603238,0.001203279197216034
167,0.000577087514102459,0.0011781291104853153
168,0.0005727750016376376,0.0011798333143815398
169,0.0005837416974827647,0.001181408390402794
170,0.0005846458952873945,0.001204412500374019
171,0.0005970208905637265,0.0012121499981731176
172,0.0006044540787115693,0.00123817918356508
173,0.0006065500201657414,0.0012596792075783014
174,0.0006180207943543792,0.001276491698808968
175,0.0006216083886101842,0.0013031624956056475
176,0.0006179624935612083,0.0013055125018581748
177,0.0006419500103220343,0.0013128082966431976
178,0.0006472666980698704,0.0013275332981720566
179,0.0006550499936565756,0.0013288458110764622
180,0.000662837503477931,0.0013678959105163813
181,0.0006662375060841441,0.0013658832991495728
182,0.0006667207926511765,0.0013687750091776253
183,0.0006693207891657948,0.0013853375101462006
184,0.0007033083122223616,0.0014348249882459641
185,0.0006996833952143788,0.0014018832938745619
186,0.0007100291782990098,0.001442154194228351
187,0.0007085375022143125,0.0014557583024725318
188,0.0007084958022460341,0.00147643331438303
189,0.0007471791934221983,0.0015168665908277036
190,0.0007401166949421167,0.0015278208069503308
191,0.000756908394396305,0.0015373875154182314
192,0.0007450040895491839,0.0015399417141452431
193,0.0007477250183001161,0.0015394082991406321
194,0.0007626584032550454,0.0015811833087354898
195,0.0008100750157609582,0.0016201792052015663
196,0.0007913874927908182,0.0016401666915044188
197,0.0008117082994431257,0.0016478166915476322
198,0.0008058583829551935,0.0016772459028288722
199,0.0008235333021730185,0.001688675000332296
200,0.0008162999991327524,0.0016887124860659243
201,0.0008391541196033359,0.0016992707969620824
202,0.0008360875071957707,0.001723087509162724
203,0.0008396874880418181,0.001745341601781547
204,0.0008443041006103158,0.0017531875055283308
205,0.0008581999922171235,0.0017561542103067041
206,0.0008558999979868531,0.0017874374985694884
207,0.0008667875081300735,0.0018049125093966723
208,0.0008911165874451399,0.0018009999999776482
209,0.000890900008380413,0.0018284875201061367
210,0.0009125791024416685,0.001841350016184151
211,0.0009366207988932729,0.001832837495021522
212,0.0009043874917551876,0.0018560624914243818
213,0.000924804201349616,0.0019001082982867956
214,0.0009384958073496818,0.00191281670704484
215,0.0009380500065162778,0.0019239166984334588
216,0.0009787499904632569,0.0019251791993156076
217,0.0009416165994480252,0.0019395541166886687
218,0.0009825040819123388,0.0020161499967798592
219,0.0009822375141084194,0.0020379541907459497
220,0.0009920125128701329,0.0020365416072309016
221,0.000996754108928144,0.0020597959170117973
222,0.0010122332954779268,0.0020678207976743577
